COUNTRY,REGION,CITY-NAME,METRO-CODE,CITY-CODE,LATITUDE,LONGITUDE
***,***,?,0,7,0,0
afg,?,?,0,1,33,1
afg,no region,herat,-1,2,34.3452,62.12
afg,no region,kabul,-1,3,34.5167,69.1833
afg,no region,kandahar,-1,4,31.6111,65.702
afg,no region,mazar-e sharif,-1,5,36.7041,67.1096
deu,by,munich,276005,3324,48.1394,11.5657
esp,b,barcelona,-1,11259,41.37959,2.16836
fra,j,paris,250075,1706,48.8548,2.3454
gbr,lnd,london,826005,4782,51.51471,-.08329
ita,si,siena,-1,10985,43.31866,11.33051
tur,34,istanbul,-1,15498,41.0136,28.9635
